RA,Dec,x,y,F814W,err,F475W,err_1,chi_I,chi_B,sharp_I,sharp_B,color
50.0108142,41.3064873,3351.723,1878.923,25.227,0.087,26.954,0.098,1.552,0.591,0.121,0.183,-1.727
49.9826901,41.2948617,1694.586,2397.316,25.064,0.084,27.205,0.102,1.594,0.406,0.274,0.004,-2.141
49.9928762,41.2958954,2249.406,2433.81,24.912,0.07,26.28,0.103,1.379,1.35,0.072,0.07,-1.368
49.9564852,41.29008,236.822,2452.869,24.815,0.061,26.299,0.129,1.243,1.805,-0.06,-0.014,-1.484
49.9907848,41.2947417,2122.029,2492.76,24.112,0.053,25.536,0.054,1.428,1.072,0.193,0.01,-1.424
49.9824206,41.2925201,1646.804,2559.651,25.094,0.061,26.438,0.087,1.006,0.912,-0.021,-0.137,-1.344
49.9788873,41.291513,1445.061,2592.739,22.926,0.054,24.433,0.034,1.987,1.138,0.28,0.184,-1.507
49.9708451,41.2892404,986.144,2666.629,23.949,0.043,25.343,0.046,1.127,1.004,0.193,0.197,-1.394
49.9736386,41.2895265,1138.352,2676.479,25.241,0.067,26.825,0.092,1.031,0.586,0.029,0.048,-1.584
49.9937444,41.2917723,2236.493,2734.092,22.845,0.043,24.334,0.042,1.519,1.607,0.158,0.22,-1.489
50.0030413,41.2920054,2732.76,2817.473,24.816,0.05,26.089,0.06,0.939,0.764,0.11,0.157,-1.273
49.9618844,41.2831603,423.977,2999.245,25.074,0.083,26.69,0.101,1.597,0.854,0.249,0.042,-1.616
50.0254134,41.2919102,3917.639,3064.215,24.594,0.05,25.939,0.059,1.084,0.856,0.182,0.046,-1.345
49.9741442,41.2828008,1068.902,3156.504,25.318,0.063,26.68,0.105,0.909,0.916,0.168,0.034,-1.362
49.9683276,41.2815214,742.161,3184.219,25.286,0.058,26.728,0.079,0.815,0.533,0.031,0.057,-1.442
49.9665365,41.2801194,627.111,3263.877,25.351,0.073,26.889,0.083,1.09,0.461,0.193,0.192,-1.538
50.0007226,41.2852578,2513.395,3268.744,24.642,0.041,26.274,0.064,0.771,0.647,0.122,0.011,-1.632
49.9996614,41.2837462,2435.519,3364.018,24.223,0.046,25.98,0.049,1.155,0.59,0.147,0.031,-1.757
50.0136857,41.2852449,3200.614,3408.801,24.349,0.042,25.855,0.05,0.964,0.735,0.124,0.11,-1.506
49.9726109,41.2787954,930.275,3422.647,24.314,0.03,26.125,0.056,0.562,0.636,0.056,0.056,-1.811
49.996182,41.2822854,2230.135,3429.735,24.96,0.066,26.372,0.064,1.266,0.566,0.217,0.09,-1.412
50.0124124,41.2838805,3113.612,3491.421,25.032,0.046,26.43,0.063,0.731,0.554,0.156,-0.164,-1.398
49.9678032,41.2766622,644.788,3521.45,23.426,0.045,25.794,0.048,1.427,0.714,0.205,0.118,-2.368
49.9976597,41.2802938,2280.031,3586.146,24.595,0.053,26.211,0.061,1.151,0.65,0.11,0.055,-1.616
49.9632425,41.2727021,346.223,3751.804,23.86,0.045,25.61,0.064,1.269,1.286,0.136,0.241,-1.75
